"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9320","@smoke Admin logs in and reaches the dashboard","ui-firefox","2026-06-28","passed","2026-06-28","OrangeHRM · Login @ui @regression","ui/orangehrm/login.spec.ts","",""
"","7","CSV write/read round-trips","api","2026-06-28","passed","2026-06-28","File utils (JSON/CSV/Excel) @smoke","api/utils.spec.ts","",""
"","82","3 · read back & verify","e2e","2026-06-28","passed","2026-06-28","E2E · Booking lifecycle @e2e @api","e2e/booking-lifecycle.e2e.spec.ts","",""
"","3403","sorts products by price low → high","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","592","@smoke create → get → schema + perf (request chaining)","api","2026-06-28","passed","2026-06-28","Restful-Booker · Booking API @api","api/booking.spec.ts","",""
"","978","invalid password is rejected","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Login @ui @regression","ui/saucedemo/login.spec.ts","",""
"","369","NOT NULL: missing email is rejected","db","2026-06-28","passed","2026-06-28","PostgreSQL · Constraints @db","db/advanced.spec.ts","",""
"","4","4 · terminate (delete) & verify gone","e2e","2026-06-28","passed","2026-06-28","E2E · Employee lifecycle @e2e @db","e2e/employee-lifecycle.e2e.spec.ts","",""
"","3324","overview totals: subtotal + tax = total (soft assertions)","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Checkout flow @ui @e2e","ui/saucedemo/checkout.spec.ts","",""
"","1251","text meets the WCAG AA colour-contrast ratio","accessibility","2026-06-28","passed","2026-06-28","SauceDemo · Inventory · Accessibility @a11y @accessibility @regression","accessibility/saucedemo/inventory.a11y.spec.ts","",""
"","1364","locked_out_user → error","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Data-driven login @ui @regression","ui/saucedemo/login.data-driven.spec.ts","",""
"","1505","the app header matches the baseline","visual","2026-06-28","passed","2026-06-28","SauceDemo · Inventory · Visual @visual @regression","visual/saucedemo/inventory.visual.spec.ts","",""
"","13","transaction ROLLBACK leaves no trace","db","2026-06-28","passed","2026-06-28","PostgreSQL · Employee repository @db","db/employee.spec.ts","",""
"","17","post list responds within SLA","api","2026-06-28","passed","2026-06-28","Response-time SLA @api @perf","api/sla-and-sorting.spec.ts","",""
"","16392","invalid credentials are rejected","ui-webkit","2026-06-28","passed","2026-06-28","OrangeHRM · Login @ui @regression","ui/orangehrm/login.spec.ts","",""
"","194","@smoke paginates with limit & skip","api","2026-06-28","passed","2026-06-28","DummyJSON · Product API @api","api/products.spec.ts","",""
"","1502","problem_user → success","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Data-driven login @ui @regression","ui/saucedemo/login.data-driven.spec.ts","",""
"","198","products sorted by price ascending","api","2026-06-28","passed","2026-06-28","Server-side sorting @api","api/sla-and-sorting.spec.ts","",""
"","11113","@smoke employee grid renders rows (Table component)","ui-webkit","2026-06-28","passed","2026-06-28","OrangeHRM · PIM employee grid @ui @regression","ui/orangehrm/pim.spec.ts","",""
"","53","give_raise() on a non-existent employee returns null","db","2026-06-28","passed","2026-06-28","PostgreSQL · Indexes & functions @db","db/advanced.spec.ts","",""
"","3747","@smoke login screen loads within the SPA budget","performance","2026-06-28","passed","2026-06-28","OrangeHRM · Login · Performance @perf","performance/orangehrm/login.perf.spec.ts","",""
"","1042","network and resource timing are captured","performance","2026-06-28","passed","2026-06-28","SauceDemo · Login · Performance @perf","performance/saucedemo/login.perf.spec.ts","",""
"","2178","@smoke completes a single-item purchase end-to-end","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Checkout flow @ui @e2e","ui/saucedemo/checkout.spec.ts","",""
"","3319","adding products updates the cart badge (composed header component)","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","4706","@smoke Admin logs in and reaches the dashboard","ui-chromium","2026-06-28","passed","2026-06-28","OrangeHRM · Login @ui @regression","ui/orangehrm/login.spec.ts","",""
"","75","GET /booking/far-out-of-range → not found","api","2026-06-28","passed","2026-06-28","Negative · Restful-Booker @api @negative","api/negative-boundary.spec.ts","",""
"","16636","@smoke Admin logs in and reaches the dashboard","ui-webkit","2026-06-28","passed","2026-06-28","OrangeHRM · Login @ui @regression","ui/orangehrm/login.spec.ts","",""
"","1716","adding products updates the cart badge (composed header component)","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","3","appConfig (worker fixture) is injected","api","2026-06-28","passed","2026-06-28","Custom fixtures (DI) @smoke","api/fixtures.spec.ts","",""
"","23","@smoke seed data is present","db","2026-06-28","passed","2026-06-28","PostgreSQL · Employee repository @db","db/employee.spec.ts","",""
"","369","JSONPlaceholder post conforms to schema","api","2026-06-28","passed","2026-06-28","Contract / schema validation @api @contract","api/contract.spec.ts","",""
"","4","database config has a sane port","api","2026-06-28","passed","2026-06-28","Configuration facade @smoke","api/config.spec.ts","",""
"","6950","performance_glitch_user → success","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Data-driven login @ui @regression","ui/saucedemo/login.data-driven.spec.ts","",""
"","4351","invalid credentials are rejected","ui-chromium","2026-06-28","passed","2026-06-28","OrangeHRM · Login @ui @regression","ui/orangehrm/login.spec.ts","",""
"","165","encrypt → decrypt round-trips","api","2026-06-28","passed","2026-06-28","Crypto utils @smoke","api/utils.spec.ts","",""
"","382","1 · authenticate","e2e","2026-06-28","passed","2026-06-28","E2E · Booking lifecycle @e2e @api","e2e/booking-lifecycle.e2e.spec.ts","",""
"","19","view active_employees excludes inactive rows","db","2026-06-28","passed","2026-06-28","PostgreSQL · Employee repository @db","db/employee.spec.ts","",""
"","695","limit=100 (large limit) returns at most 100","api","2026-06-28","passed","2026-06-28","Boundary · DummyJSON products @api @negative","api/negative-boundary.spec.ts","",""
"","45","product fetch is annotated with labels, steps & attachments","api","2026-06-28","passed","2026-06-28","Allure reporting showcase @api @reporting","api/reporting-allure.spec.ts","",""
"","1","updates a user (PUT 200)","api","2026-06-28","skipped","2026-06-28","ReqRes · User API @api","api/users.spec.ts","",""
"","2096","missing postal code is rejected","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Checkout flow @ui @e2e","ui/saucedemo/checkout.spec.ts","",""
"","8","sha256 is deterministic; maskSecret hides middle","api","2026-06-28","passed","2026-06-28","Crypto utils @smoke","api/utils.spec.ts","",""
"","529","update a post (PUT 200)","api","2026-06-28","passed","2026-06-28","JSONPlaceholder · Post API @api","api/posts.spec.ts","",""
"","15","parameterized query stores a malicious string literally (no execution)","db","2026-06-28","passed","2026-06-28","PostgreSQL · Injection safety @db","db/advanced.spec.ts","",""
"","4901","pagination control is present and navigable (Pagination component)","ui-chromium","2026-06-28","passed","2026-06-28","OrangeHRM · PIM employee grid @ui @regression","ui/orangehrm/pim.spec.ts","",""
"","21","UNIQUE: duplicate email is rejected","db","2026-06-28","passed","2026-06-28","PostgreSQL · Constraints @db","db/advanced.spec.ts","",""
"","1416","invalid password is rejected","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Login @ui @regression","ui/saucedemo/login.spec.ts","",""
"","823","authenticate SauceDemo standard_user","setup","2026-06-28","passed","2026-06-28","","setup/auth.setup.ts","",""
"","4384","the scanner detects the known serious violations","accessibility","2026-06-28","passed","2026-06-28","OrangeHRM · Login · Accessibility @a11y @accessibility @regression","accessibility/orangehrm/login.a11y.spec.ts","",""
"","4077","@smoke employee grid renders rows (Table component)","ui-chromium","2026-06-28","passed","2026-06-28","OrangeHRM · PIM employee grid @ui @regression","ui/orangehrm/pim.spec.ts","",""
"","3914","login screen is compliant apart from triaged waivers","accessibility","2026-06-28","passed","2026-06-28","OrangeHRM · Login · Accessibility @a11y @accessibility @regression","accessibility/orangehrm/login.a11y.spec.ts","",""
"","15","SauceDemo meets the minimum Lighthouse performance score","performance","2026-06-28","skipped","2026-06-28","Lighthouse · Performance Audit @perf @lighthouse","performance/lighthouse.perf.spec.ts","",""
"","17","get a single post by id","api","2026-06-28","passed","2026-06-28","JSONPlaceholder · Post API @api","api/posts.spec.ts","",""
"","666","delete removes the booking (DELETE → 404 on re-fetch)","api","2026-06-28","passed","2026-06-28","Restful-Booker · Booking API @api","api/booking.spec.ts","",""
"","7","data fixture generates isolated test data","api","2026-06-28","passed","2026-06-28","Custom fixtures (DI) @smoke","api/fixtures.spec.ts","",""
"","4","JSON write/read round-trips","api","2026-06-28","passed","2026-06-28","File utils (JSON/CSV/Excel) @smoke","api/utils.spec.ts","",""
"","0","creates a user (POST 201)","api","2026-06-28","skipped","2026-06-28","ReqRes · User API @api","api/users.spec.ts","",""
"","6441","@smoke completes a single-item purchase end-to-end","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Checkout flow @ui @e2e","ui/saucedemo/checkout.spec.ts","",""
"","1599","shows the full product catalog","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","972","locked_out_user is rejected with an error","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Login @ui @regression","ui/saucedemo/login.spec.ts","",""
"","517","@smoke create → returns 201 with id (CRUD)","api","2026-06-28","passed","2026-06-28","JSONPlaceholder · Post API @api","api/posts.spec.ts","",""
"","78","GET /booking/zero → not found","api","2026-06-28","passed","2026-06-28","Negative · Restful-Booker @api @negative","api/negative-boundary.spec.ts","",""
"","38","FK RESTRICT: cannot delete a department that has employees","db","2026-06-28","passed","2026-06-28","PostgreSQL · Constraints @db","db/advanced.spec.ts","",""
"","535","update requires auth token then reflects changes (PUT)","api","2026-06-28","passed","2026-06-28","Restful-Booker · Booking API @api","api/booking.spec.ts","",""
"","70","4 · full update (PUT) & verify","e2e","2026-06-28","passed","2026-06-28","E2E · Booking lifecycle @e2e @api","e2e/booking-lifecycle.e2e.spec.ts","",""
"","292","GET /pet/{nonexistent} → 404","api","2026-06-28","passed","2026-06-28","Negative · Petstore @api @negative","api/negative-boundary.spec.ts","",""
"","3283","@smoke completes a single-item purchase end-to-end","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Checkout flow @ui @e2e","ui/saucedemo/checkout.spec.ts","",""
"","7186","@smoke employee grid renders rows (Table component)","ui-firefox","2026-06-28","passed","2026-06-28","OrangeHRM · PIM employee grid @ui @regression","ui/orangehrm/pim.spec.ts","",""
"","12","stored function give_raise() returns increased salary","db","2026-06-28","passed","2026-06-28","PostgreSQL · Employee repository @db","db/employee.spec.ts","",""
"","9062","pagination control is present and navigable (Pagination component)","ui-firefox","2026-06-28","passed","2026-06-28","OrangeHRM · PIM employee grid @ui @regression","ui/orangehrm/pim.spec.ts","",""
"","3292","cart reflects the added product","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","324","@smoke lists posts","api","2026-06-28","passed","2026-06-28","JSONPlaceholder · Post API @api","api/posts.spec.ts","",""
"","19","constants are wired (enums + timeouts)","api","2026-06-28","passed","2026-06-28","Configuration facade @smoke","api/config.spec.ts","",""
"","2582","@smoke standard_user logs in and reaches the inventory","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Login @ui @regression","ui/saucedemo/login.spec.ts","",""
"","1372","the login form component matches the baseline","visual","2026-06-28","passed","2026-06-28","SauceDemo · Login · Visual @visual @regression","visual/saucedemo/login.visual.spec.ts","",""
"","481","re-syncing the same product is idempotent (no duplicate row)","e2e","2026-06-28","passed","2026-06-28","E2E · API → DB product sync @e2e","e2e/api-to-db-sync.e2e.spec.ts","",""
"","4","formatDuration & fileTimestamp produce sane strings","api","2026-06-28","passed","2026-06-28","Async utils @smoke","api/utils.spec.ts","",""
"","132","6 · delete & verify gone (404)","e2e","2026-06-28","passed","2026-06-28","E2E · Booking lifecycle @e2e @api","e2e/booking-lifecycle.e2e.spec.ts","",""
"","3362","cart reflects the added product","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","1213","ARIA roles, states and properties are valid","accessibility","2026-06-28","passed","2026-06-28","SauceDemo · Login · Accessibility @a11y @accessibility @regression","accessibility/saucedemo/login.a11y.spec.ts","",""
"","538","the login button is reachable using only the Tab key","accessibility","2026-06-28","passed","2026-06-28","SauceDemo · Login · Accessibility @a11y @accessibility @regression","accessibility/saucedemo/login.a11y.spec.ts","",""
"","2255","locked_out_user is rejected with an error","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Login @ui @regression","ui/saucedemo/login.spec.ts","",""
"","373","@smoke health check responds","api","2026-06-28","passed","2026-06-28","Restful-Booker · Booking API @api","api/booking.spec.ts","",""
"","1658","full login page matches the baseline","visual","2026-06-28","passed","2026-06-28","SauceDemo · Login · Visual @visual @regression","visual/saucedemo/login.visual.spec.ts","",""
"","1580","resource timing breaks payload down by type","performance","2026-06-28","passed","2026-06-28","SauceDemo · Inventory · Performance @perf","performance/saucedemo/inventory.perf.spec.ts","",""
"","5","capture buffer collects logs tagged with the active correlation id","api","2026-06-28","passed","2026-06-28","Logging · correlation & capture @smoke","api/logging.spec.ts","",""
"","1243","@smoke login screen loads within budget","performance","2026-06-28","passed","2026-06-28","SauceDemo · Login · Performance @perf","performance/saucedemo/login.perf.spec.ts","",""
"","39","COMMIT persists multiple inserts atomically","db","2026-06-28","passed","2026-06-28","PostgreSQL · Transactions @db","db/advanced.spec.ts","",""
"","3","resolves a valid environment","api","2026-06-28","passed","2026-06-28","Configuration facade @smoke","api/config.spec.ts","",""
"","14","email looks like an email; int respects bounds","api","2026-06-28","passed","2026-06-28","Random utils @smoke","api/utils.spec.ts","",""
"","11","retryAsync eventually succeeds","api","2026-06-28","passed","2026-06-28","Async utils @smoke","api/utils.spec.ts","",""
"","2110","locked_out_user → error","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Data-driven login @ui @regression","ui/saucedemo/login.data-driven.spec.ts","",""
"","402","DummyJSON single product conforms to schema","api","2026-06-28","passed","2026-06-28","Contract / schema validation @api @contract","api/contract.spec.ts","",""
"","515","Petstore pet conforms to schema","api","2026-06-28","passed","2026-06-28","Contract / schema validation @api @contract","api/contract.spec.ts","",""
"","1592","@smoke inventory loads within budget","performance","2026-06-28","passed","2026-06-28","SauceDemo · Inventory · Performance @perf","performance/saucedemo/inventory.perf.spec.ts","",""
"","2","environment selector resolves to a known environment","api","2026-06-28","passed","2026-06-28","Framework sanity @smoke","api/sanity.spec.ts","",""
"","4615","browse → cart → checkout → complete → logout","e2e","2026-06-28","passed","2026-06-28","E2E · SauceDemo purchase journey @e2e @ui","e2e/saucedemo-purchase.e2e.spec.ts","",""
"","2191","locked_out_user is rejected with an error","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Login @ui @regression","ui/saucedemo/login.spec.ts","",""
"","3325","adding products updates the cart badge (composed header component)","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","4342","@smoke login screen has no CRITICAL accessibility violations","accessibility","2026-06-28","passed","2026-06-28","OrangeHRM · Login · Accessibility @a11y @accessibility @regression","accessibility/orangehrm/login.a11y.spec.ts","",""
"","93","Excel write/read round-trips","api","2026-06-28","passed","2026-06-28","File utils (JSON/CSV/Excel) @smoke","api/utils.spec.ts","",""
"","2974","shows the full product catalog","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","2","workerLogger fixture is injected","api","2026-06-28","passed","2026-06-28","Custom fixtures (DI) @smoke","api/fixtures.spec.ts","",""
"","9","correlation id is present and stable across awaits","api","2026-06-28","passed","2026-06-28","Logging · correlation & capture @smoke","api/logging.spec.ts","",""
"","509","limit=1 (minimum limit) returns at most 1","api","2026-06-28","passed","2026-06-28","Boundary · DummyJSON products @api @negative","api/negative-boundary.spec.ts","",""
"","4232","missing postal code is rejected","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Checkout flow @ui @e2e","ui/saucedemo/checkout.spec.ts","",""
"","1720","invalid password is rejected","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Login @ui @regression","ui/saucedemo/login.spec.ts","",""
"","5","FK constraint rejects unknown department","db","2026-06-28","passed","2026-06-28","PostgreSQL · Employee repository @db","db/employee.spec.ts","",""
"","1748","cart reflects the added product","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","1011","an add-to-cart button is reachable using only the Tab key","accessibility","2026-06-28","passed","2026-06-28","SauceDemo · Inventory · Accessibility @a11y @accessibility @regression","accessibility/saucedemo/inventory.a11y.spec.ts","",""
"","143","CHECK constraint rejects non-positive salary","db","2026-06-28","passed","2026-06-28","PostgreSQL · Employee repository @db","db/employee.spec.ts","",""
"","77","GET /booking/negative → not found","api","2026-06-28","passed","2026-06-28","Negative · Restful-Booker @api @negative","api/negative-boundary.spec.ts","",""
"","2563","problem_user → success","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Data-driven login @ui @regression","ui/saucedemo/login.data-driven.spec.ts","",""
"","5124","authenticate OrangeHRM admin","setup","2026-06-28","passed","2026-06-28","","setup/orange-auth.setup.ts","",""
"","1439","no images are missing alternative text","accessibility","2026-06-28","passed","2026-06-28","SauceDemo · Login · Accessibility @a11y @accessibility @regression","accessibility/saucedemo/login.a11y.spec.ts","",""
"","192","product list responds within SLA","api","2026-06-28","passed","2026-06-28","Response-time SLA @api @perf","api/sla-and-sorting.spec.ts","",""
"","3","log fixture is a usable scoped logger","api","2026-06-28","passed","2026-06-28","Custom fixtures (DI) @smoke","api/fixtures.spec.ts","",""
"","12","2 · give a 10% raise (stored function) & verify","e2e","2026-06-28","passed","2026-06-28","E2E · Employee lifecycle @e2e @db","e2e/employee-lifecycle.e2e.spec.ts","",""
"","422","@smoke findByStatus(available) filters correctly + schema","api","2026-06-28","passed","2026-06-28","Swagger Petstore · Pet API @api","api/pet.spec.ts","",""
"","169","2 · create the booking","e2e","2026-06-28","passed","2026-06-28","E2E · Booking lifecycle @e2e @api","e2e/booking-lifecycle.e2e.spec.ts","",""
"","1436","every form control is programmatically labeled","accessibility","2026-06-28","passed","2026-06-28","SauceDemo · Login · Accessibility @a11y @accessibility @regression","accessibility/saucedemo/login.a11y.spec.ts","",""
"","1174","product images all expose alternative text","accessibility","2026-06-28","passed","2026-06-28","SauceDemo · Inventory · Accessibility @a11y @accessibility @regression","accessibility/saucedemo/inventory.a11y.spec.ts","",""
"","28","view active_employees joins department names","db","2026-06-28","passed","2026-06-28","PostgreSQL · Indexes & functions @db","db/advanced.spec.ts","",""
"","3052","sorts products by price low → high","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","2885","standard_user → success","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Data-driven login @ui @regression","ui/saucedemo/login.data-driven.spec.ts","",""
"","2762","shows the full product catalog","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Inventory (authenticated) @ui @smoke","ui/saucedemo/inventory.spec.ts","",""
"","7260","performance_glitch_user → success","ui-firefox","2026-06-28","passed","2026-06-28","SauceDemo · Data-driven login @ui @regression","ui/saucedemo/login.data-driven.spec.ts","",""
"","1346","the scanner detects the known unlabeled sort control","accessibility","2026-06-28","passed","2026-06-28","SauceDemo · Inventory · Accessibility @a11y @accessibility @regression","accessibility/saucedemo/inventory.a11y.spec.ts","",""
"","81","negative: get non-existent booking returns 404","api","2026-06-28","passed","2026-06-28","Restful-Booker · Booking API @api","api/booking.spec.ts","",""
"","1","negative: unknown user returns 404","api","2026-06-28","skipped","2026-06-28","ReqRes · User API @api","api/users.spec.ts","",""
"","3","exposes valid UI + API base URLs","api","2026-06-28","passed","2026-06-28","Configuration facade @smoke","api/config.spec.ts","",""
"","77","delete a post (200)","api","2026-06-28","passed","2026-06-28","JSONPlaceholder · Post API @api","api/posts.spec.ts","",""
"","4987","overview totals: subtotal + tax = total (soft assertions)","ui-webkit","2026-06-28","passed","2026-06-28","SauceDemo · Checkout flow @ui @e2e","ui/saucedemo/checkout.spec.ts","",""
"","0","deletes a user (DELETE 204)","api","2026-06-28","skipped","2026-06-28","ReqRes · User API @api","api/users.spec.ts","",""
"","62","5 · partial update (PATCH) & verify","e2e","2026-06-28","passed","2026-06-28","E2E · Booking lifecycle @e2e @api","e2e/booking-lifecycle.e2e.spec.ts","",""
"","1523","@smoke standard_user logs in and reaches the inventory","ui-chromium","2026-06-28","passed","2026-06-28","SauceDemo · Login @ui @regression","ui/saucedemo/login.spec.ts","",""
"","6","3 · deactivate & verify excluded from active_employees view","e2e","2026-06-28","passed","2026-06-28","E2E · Employee lifecycle @e2e @db","e2e/employee-lifecycle.e2e.spec.ts","",""
"","196","products sorted by title descending","api","2026-06-28","passed","2026-06-28","Server-side sorting @api","api/sla-and-sorting.spec.ts","",""
"","14","lists users (10 seeded)","api","2026-06-28","passed","2026-06-28","JSONPlaceholder · Post API @api","api/posts.spec.ts","",""
"","4142","every login form control is programmatically labeled","accessibility","2026-06-28","passed","2026-06-28","OrangeHRM · Login · Accessibility @a11y @accessibility @regression","accessibility/orangehrm/login.a11y.spec.ts","",""
"","17","1 · hire (insert) the employee","e2e","2026-06-28","passed","2026-06-28","E2E · Employee lifecycle @e2e @db","e2e/employee-lifecycle.e2e.spec.ts","",""
"","677","login controls are operable in the expected keyboard focus order","accessibility","2026-06-28","passed","2026-06-28","SauceDemo · Login · Accessibility @a11y @accessibility @regression","accessibility/saucedemo/login.a11y.spec.ts","",""
"","3439","the submit button is reachable using only the Tab key","accessibility","2026-06-28","passed","2026-06-28","OrangeHRM · Login · Accessibility @a11y @accessibility @regression","accessibility/orangehrm/login.a11y.spec.ts","",""
